event_id,event_category,event_type_raw,began,restored,year,n_counties_affected,n_states_affected,mean_duration_hours,total_customers_affected,max_customers_single_county
Washington-3,Equipment/Operational,System Operations,2015-07-21 12:47:00,2015-07-21 13:12:00,2015,21,1,3.608695652173913,101792.0,22186.0
Washington-4,Equipment/Operational,System Operations,2015-07-31 10:55:00,2015-07-31 10:55:00,2015,23,1,4.847916666666666,236005.0,132417.0
Washington-5,Weather,Severe Weather,2015-08-29 10:00:00,2015-08-29 10:00:00,2015,21,1,5.464782608695653,241786.0,76835.0
Washington-6,Weather,Severe Weather,2015-08-29 11:00:00,2015-09-04 15:00:00,2015,19,1,5.317961165048544,314489.0,117262.0
Washington-7,Weather,Severe Weather,2015-11-17 10:00:00,2015-11-17 10:00:00,2015,32,1,4.287420382165605,737665.0,251333.0
Washington-8,Weather,Severe Weather,2015-12-09 04:00:00,2015-12-09 11:00:00,2015,33,1,4.8996913580246915,222976.0,52571.0
Washington-9,Weather,Severe Weather,2015-11-17 13:30:00,2015-11-17 13:30:00,2015,22,1,5.2931606905710495,583801.0,251333.0
West Virginia-0,Physical/Security,Vandalism,2015-03-22 16:25:00,2015-03-22 16:26:00,2015,55,1,14.341423948220065,298975.0,22865.0
West Virginia-1,Weather,Weather,2016-02-16 08:35:00,2016-02-16 17:28:00,2016,55,1,8.615870786516854,166226.0,15530.0
West Virginia-2,Equipment/Operational,System Operations,2018-10-01 12:44:00,2018-10-01 17:32:00,2018,52,1,8.546875,101259.0,5999.0
West Virginia-3,Weather,Severe Weather,2018-10-21 00:16:00,2018-10-21 16:14:00,2018,48,1,6.883064516129032,95171.0,14878.0
West Virginia-4,Weather,Severe Weather,2018-11-15 10:50:00,2018-11-17 13:12:00,2018,43,1,5.803191489361702,43213.0,2874.0
West Virginia-5,Equipment/Operational,Transmission Interruption,2020-07-22 11:30:00,2020-07-22 14:19:00,2020,27,1,4.3061224489795915,26960.0,6947.0
West Virginia-6,Weather,Severe Weather/Transmission Interruption,2020-07-07 19:17:00,2020-07-07 23:49:00,2020,29,1,3.6367924528301887,32144.0,6847.0
Wisconsin-0,Weather,Severe Weather,2016-07-05 17:30:00,2016-07-06 16:00:00,2016,63,1,5.5465587044534415,181057.0,16821.0
Wisconsin-1,Physical/Security,Sabotage,2016-01-04 05:15:00,2016-01-05 08:00:00,2016,57,1,4.553643724696356,218734.0,28030.0
Wisconsin-2,Equipment/Operational,System Operations,2019-10-29 13:46:00,2019-10-29 14:49:00,2019,48,1,5.9986807387862795,109978.0,8681.0
Wisconsin-3,Equipment/Operational,System Operations,2019-07-19 09:55:00,2019-07-19 13:00:00,2019,68,1,6.276978417266187,274096.0,31980.0
Wisconsin-4,Physical/Security,Suspicious Activity,2019-09-25 17:25:00,2019-09-25 18:16:00,2019,67,1,11.296259842519685,313017.0,31980.0
Wisconsin-5,Equipment/Operational,System Operations,2021-04-22 16:43:00,2021-04-22 17:14:00,2021,15,1,9.729166666666666,145933.0,89708.0
Wisconsin-6,Equipment/Operational,System Operations,2021-04-13 00:37:00,2021-04-13 04:19:00,2021,10,1,1.3055555555555556,16037.0,8044.0
Wisconsin-7,Equipment/Operational,System Operations,2021-10-20 23:00:00,2021-10-21 01:20:00,2021,10,1,1.375,6299.0,1473.0
Wisconsin-8,Equipment/Operational,System Operations,2021-12-01 10:04:00,2021-12-01 13:08:00,2021,4,1,1.1875,3139.0,1428.0
Wisconsin-9,Weather,Severe Weather,2021-08-10 20:00:00,2021-08-10 20:00:00,2021,34,1,2.2908163265306123,189247.0,64397.0
Wyoming-0,Equipment/Operational,Transmission Interruption,2019-09-10 21:22:00,2019-09-10 21:23:00,2019,13,1,1.0972222222222223,8727.0,2807.0
