,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
36,-1.1228152255932504,-1.136982208804156,-1.1161732846536578,-1.136982208804156,-1.1333381508392704,-1.1263197836232788,-1.1349612084908032,-1.1350752031534759,-1.1350752031534759,-1.1370380157299025,-1.1332088465223737,-1.1363087484255672,-1.136952948556708,-1.1350460173974661,-1.137156303224025,-1.1368639348554233,-1.1368397831016934,-1.1372625492981558,-1.1370380157299025,-1.1346083222559262
37,-1.1308203395479755,-1.136982208804156,-1.1305517189143464,-1.136982208804156,-1.1333381508392704,-1.1263201371879286,-1.1350467033745493,-1.1350467033745493,-1.1369822088041555,-1.1370380157299027,-1.1331640809105281,-1.1251183767660244,-1.1369223512525812,-1.1350467033745493,-1.1350752031534754,-1.1371854847536178,-1.1370380157299025,-1.1369529485567078,-1.1368651723862193,-1.1346192957457395
38,-1.1288746281934445,-1.116651162745699,-1.1305517189143464,-1.136982208804156,-1.1333381508392704,-1.1244611935900979,-1.1350467033745493,-1.1350752031534759,-1.1349079218644862,-1.1351888294620422,-1.1332527130536172,-1.1350752031534759,-1.1349612084908032,-1.1349584646896531,-1.1370380157299025,-1.1350752031534757,-1.137143372800255,-1.1369822088041557,-1.1370380157299025,-1.1369822088041557
39,-1.1308203395479755,-1.116651162745699,-1.1305517189143464,-1.136982208804156,-1.1333381508392704,-1.1263201371879286,-1.137146161384392,-1.1350752031534754,-1.1369822088041555,-1.1351888294620422,-1.1332527130536172,-1.1310986770841034,-1.1370087533025255,-1.1350752031534757,-1.1369822088041555,-1.1369822088041555,-1.1350752031534759,-1.1351888294620422,-1.1370380157299025,-1.135929319860725
40,-1.1308203395479755,-1.1308203395479752,-1.1305517189143464,-1.136982208804156,-1.1333381508392704,-1.1244611935900979,-1.1333381508392704,-1.134269554894781,-1.1310986770841034,-1.1369529485567078,-1.1295164237239232,-1.1251183767660244,-1.1350752031534757,-1.1349612084908032,-1.1350752031534754,-1.1369240369016131,-1.1372625492981558,-1.1370090984810064,-1.1370380157299025,-1.1350752031534757
41,-1.1308203395479755,-1.116651162745699,-1.1161732846536578,-1.136982208804156,-1.1333381508392704,-1.1263201371879286,-1.1370380157299025,-1.1350467033745493,-1.1350752031534759,-1.1365643302901112,-1.1332088465223737,-1.1251183767660244,-1.1368651723862193,-1.1350752031534757,-1.1367831031935491,-1.137262549298156,-1.1370380157299025,-1.1350752031534754,-1.1350752031534754,-1.1346083222559262
42,-1.1331152717806328,-1.116651162745699,-1.1305517189143464,-1.1349079218644864,-1.1333381508392704,-1.1263201371879286,-1.1333381508392704,-1.1355493525526386,-1.1370380157299025,-1.1370380157299025,-1.1332088465223737,-1.1346192957457395,-1.1369525998611127,-1.1350460173974661,-1.1369223512525812,-1.1368366091318989,-1.136923339579796,-1.1370380157299025,-1.1372625492981558,-1.1351667561551897
43,-1.1308203395479755,-1.1308203395479752,-1.1305517189143464,-1.136982208804156,-1.1333381508392704,-1.1263197836232788,-1.1333381508392704,-1.1350467033745493,-1.1369822088041555,-1.1370380157299025,-1.1351667561551897,-1.1251183767660244,-1.136952948556708,-1.1350467033745493,-1.1350752031534754,-1.1361679398693383,-1.1350752031534754,-1.1363087484255667,-1.1370380157299025,-1.1350752031534759
44,-1.1308203395479755,-1.116651162745699,-1.1305517189143464,-1.136982208804156,-1.1333381508392704,-1.1279946843299598,-1.134269554894781,-1.1350752031534759,-1.1370380157299025,-1.137185484753618,-1.1351667561551897,-1.1350752031534759,-1.1350752031534759,-1.1363087484255672,-1.1370380157299025,-1.1354017970874424,-1.1370087533025255,-1.136502937875858,-1.1370380157299025,-1.136652753211223
45,-1.1331152717806328,-1.116651162745699,-1.1165316745536307,-1.1344242984622293,-1.1333381508392704,-1.1263197836232788,-1.1370380157299025,-1.1351110886305316,-1.1370380157299025,-1.1370380157299027,-1.1332088465223737,-1.1333381508392704,-1.1369240369016131,-1.1365354207692921,-1.1371854847536176,-1.1332527130536172,-1.1350467033745493,-1.137156303224025,-1.1370380157299025,-1.1370090984810064
